Stage,Session,Trial,Step,Alpha,Gamma,Deadline,NextWay,Left,Right,Oncoming,Light,Action,Reward,TotRewd,TotPass,TotFail
3,301,93,12,0.97,0.38,9,forward,,,,green,left,0.5,1436.0,33,27
3,301,93,13,0.97,0.38,8,forward,,,,red,right,0.5,1436.5,33,27
3,301,93,14,0.97,0.38,7,left,,,,red,right,10.5,1447.0,34,27
3,301,94,1,0.97,0.38,50,right,,left,,green,left,0.5,1447.5,34,27
3,301,94,2,0.97,0.38,49,right,,,,green,left,0.5,1448.0,34,27
3,301,94,3,0.97,0.38,48,left,,,,green,left,0.5,1448.5,34,27
3,301,94,4,0.97,0.38,47,forward,,forward,,green,left,0.5,1449.0,34,27
3,301,94,5,0.97,0.38,46,right,,,,red,right,0.5,1449.5,34,27
3,301,94,6,0.97,0.38,45,forward,,,,red,right,0.5,1450.0,34,27
3,301,94,7,0.97,0.38,44,left,,,,green,left,0.5,1450.5,34,27
3,301,94,8,0.97,0.38,43,forward,,,,red,right,0.5,1451.0,34,27
3,301,94,9,0.97,0.38,42,left,,,,red,right,0.5,1451.5,34,27
3,301,94,10,0.97,0.38,41,right,,,,green,left,0.5,1452.0,34,27
3,301,94,11,0.97,0.38,40,left,,forward,,green,left,0.5,1452.5,34,27
3,301,94,12,0.97,0.38,39,forward,,,,red,right,0.5,1453.0,34,27
3,301,94,13,0.97,0.38,38,left,,,,red,right,0.5,1453.5,34,27
3,301,94,14,0.97,0.38,37,right,,,,green,left,0.5,1454.0,34,27
3,301,94,15,0.97,0.38,36,left,,,,green,left,0.5,1454.5,34,27
3,301,94,16,0.97,0.38,35,forward,,,,green,left,0.5,1455.0,34,27
3,301,94,17,0.97,0.38,34,right,,,,green,left,0.5,1455.5,34,27
3,301,94,18,0.97,0.38,33,right,,,forward,red,right,0.5,1456.0,34,27
3,301,94,19,0.97,0.38,32,right,,,,green,left,0.5,1456.5,34,27
3,301,94,20,0.97,0.38,31,right,,,,green,left,0.5,1457.0,34,27
3,301,94,21,0.97,0.38,30,left,,,,red,right,0.5,1457.5,34,27
3,301,94,22,0.97,0.38,29,right,,,,green,left,0.5,1458.0,34,27
3,301,94,23,0.97,0.38,28,left,,,,red,right,0.5,1458.5,34,27
3,301,94,24,0.97,0.38,27,forward,,,,red,right,0.5,1459.0,34,27
3,301,94,25,0.97,0.38,26,left,,,,red,right,0.5,1459.5,34,27
3,301,94,26,0.97,0.38,25,forward,,,,red,right,0.5,1460.0,34,27
3,301,94,27,0.97,0.38,24,left,,,,green,left,0.5,1460.5,34,27
3,301,94,28,0.97,0.38,23,forward,,,,green,left,0.5,1461.0,34,27
3,301,94,29,0.97,0.38,22,right,,,,green,left,0.5,1461.5,34,27
3,301,94,30,0.97,0.38,21,right,,,,red,right,0.5,1462.0,34,27
3,301,94,31,0.97,0.38,20,right,,,,green,left,0.5,1462.5,34,27
3,301,94,32,0.97,0.38,19,forward,,,,green,left,0.5,1463.0,34,27
3,301,94,33,0.97,0.38,18,right,,,,red,right,0.5,1463.5,34,27
3,301,94,34,0.97,0.38,17,right,,,,red,right,0.5,1464.0,34,27
3,301,94,35,0.97,0.38,16,forward,,,,green,left,0.5,1464.5,34,27
3,301,94,36,0.97,0.38,15,right,,,,green,left,0.5,1465.0,34,27
3,301,94,37,0.97,0.38,14,left,,,,green,left,0.5,1465.5,34,27
3,301,94,38,0.97,0.38,13,left,,,,green,left,0.5,1466.0,34,27
3,301,94,39,0.97,0.38,12,forward,,,,red,right,0.5,1466.5,34,27
3,301,94,40,0.97,0.38,11,right,,,,red,right,0.5,1467.0,34,27
3,301,94,41,0.97,0.38,10,right,,,,green,left,0.5,1467.5,34,27
3,301,94,42,0.97,0.38,9,forward,,,,green,left,0.5,1468.0,34,27
3,301,94,43,0.97,0.38,8,right,forward,,,green,left,0.5,1468.5,34,27
3,301,94,44,0.97,0.38,7,forward,,,,green,left,0.5,1469.0,34,27
3,301,94,45,0.97,0.38,6,right,,,,red,right,0.5,1469.5,34,27
3,301,94,46,0.97,0.38,5,right,,,,green,left,0.5,1470.0,34,27
3,301,94,47,0.97,0.38,4,right,,,,green,left,0.5,1470.5,34,27
3,301,94,48,0.97,0.38,3,right,,,,red,right,0.5,1471.0,34,27
3,301,94,49,0.97,0.38,2,right,,,,red,right,0.5,1471.5,34,27
3,301,94,50,0.97,0.38,1,right,,,,green,left,10.5,1482.0,35,27
3,301,95,1,0.97,0.38,50,right,,,,red,right,0.5,1482.5,35,27
3,301,95,2,0.97,0.38,49,forward,,,,green,left,0.5,1483.0,35,27
3,301,95,3,0.97,0.38,48,right,,,,red,right,0.5,1483.5,35,27
3,301,95,4,0.97,0.38,47,forward,,,,green,left,0.5,1484.0,35,27
3,301,95,5,0.97,0.38,46,right,,,,green,left,0.5,1484.5,35,27
3,301,95,6,0.97,0.38,45,right,forward,,,green,left,0.5,1485.0,35,27
3,301,95,7,0.97,0.38,44,left,,,,red,right,0.5,1485.5,35,27
3,301,95,8,0.97,0.38,43,right,,,,red,right,0.5,1486.0,35,27
3,301,95,9,0.97,0.38,42,right,,,right,green,left,0.5,1486.5,35,27
3,301,95,10,0.97,0.38,41,right,,,,red,right,0.5,1487.0,35,27
3,301,95,11,0.97,0.38,40,right,,,,green,left,0.5,1487.5,35,27
3,301,95,12,0.97,0.38,39,right,,,,red,right,0.5,1488.0,35,27
3,301,95,13,0.97,0.38,38,right,,,,red,right,0.5,1488.5,35,27
3,301,95,14,0.97,0.38,37,forward,,,,green,left,0.5,1489.0,35,27
3,301,95,15,0.97,0.38,36,right,,,,red,right,0.5,1489.5,35,27
3,301,95,16,0.97,0.38,35,forward,,,,red,right,0.5,1490.0,35,27
3,301,95,17,0.97,0.38,34,left,,,,green,left,0.5,1490.5,35,27
3,301,95,18,0.97,0.38,33,forward,,,,red,right,0.5,1491.0,35,27
3,301,95,19,0.97,0.38,32,left,,,,red,right,0.5,1491.5,35,27
3,301,95,20,0.97,0.38,31,right,,,,red,right,0.5,1492.0,35,27
3,301,95,21,0.97,0.38,30,right,,,right,red,right,0.5,1492.5,35,27
3,301,95,22,0.97,0.38,29,forward,,,,red,right,0.5,1493.0,35,27
3,301,95,23,0.97,0.38,28,left,,,,green,left,0.5,1493.5,35,27
3,301,95,24,0.97,0.38,27,forward,,,,red,right,0.5,1494.0,35,27
3,301,95,25,0.97,0.38,26,left,,,,green,left,0.5,1494.5,35,27
3,301,95,26,0.97,0.38,25,forward,,,,red,right,0.5,1495.0,35,27
3,301,95,27,0.97,0.38,24,left,,,,red,right,0.5,1495.5,35,27
3,301,95,28,0.97,0.38,23,right,,,,red,right,0.5,1496.0,35,27
3,301,95,29,0.97,0.38,22,right,,,,red,right,0.5,1496.5,35,27
3,301,95,30,0.97,0.38,21,forward,,,,green,left,0.5,1497.0,35,27
3,301,95,31,0.97,0.38,20,right,,,,green,left,0.5,1497.5,35,27
3,301,95,32,0.97,0.38,19,right,,,,red,right,0.5,1498.0,35,27
3,301,95,33,0.97,0.38,18,right,,,,red,right,0.5,1498.5,35,27
3,301,95,34,0.97,0.38,17,forward,,,,green,left,0.5,1499.0,35,27
3,301,95,35,0.97,0.38,16,right,,,,red,right,0.5,1499.5,35,27
3,301,95,36,0.97,0.38,15,forward,,,,green,left,0.5,1500.0,35,27
3,301,95,37,0.97,0.38,14,right,,,,red,right,0.5,1500.5,35,27
3,301,95,38,0.97,0.38,13,right,,,,green,left,10.5,1511.0,36,27
3,301,96,1,0.97,0.38,25,right,,,,red,right,0.5,1511.5,36,27
3,301,96,2,0.97,0.38,24,forward,,,,green,left,0.5,1512.0,36,27
3,301,96,3,0.97,0.38,23,right,,,,green,left,0.5,1512.5,36,27
3,301,96,4,0.97,0.38,22,right,,,,green,left,0.5,1513.0,36,27
3,301,96,5,0.97,0.38,21,left,,,,red,right,0.5,1513.5,36,27
3,301,96,6,0.97,0.38,20,right,,,,green,left,0.5,1514.0,36,27
3,301,96,7,0.97,0.38,19,left,,,,red,right,0.5,1514.5,36,27
3,301,96,8,0.97,0.38,18,right,,,,green,left,0.5,1515.0,36,27
3,301,96,9,0.97,0.38,17,left,,,,green,left,0.5,1515.5,36,27
3,301,96,10,0.97,0.38,16,forward,,,,red,right,0.5,1516.0,36,27
3,301,96,11,0.97,0.38,15,left,,,,green,left,0.5,1516.5,36,27
3,301,96,12,0.97,0.38,14,forward,,left,,green,left,0.5,1517.0,36,27
3,301,96,13,0.97,0.38,13,right,,,,green,left,0.5,1517.5,36,27
3,301,96,14,0.97,0.38,12,right,,,,green,left,0.5,1518.0,36,27
3,301,96,15,0.97,0.38,11,left,,,,red,right,0.5,1518.5,36,27
3,301,96,16,0.97,0.38,10,right,,,,red,right,0.5,1519.0,36,27
3,301,96,17,0.97,0.38,9,right,,,,green,left,0.5,1519.5,36,27
3,301,96,18,0.97,0.38,8,right,,,,green,left,0.5,1520.0,36,27
3,301,96,19,0.97,0.38,7,left,,,,green,left,0.5,1520.5,36,27
3,301,96,20,0.97,0.38,6,forward,,,,red,right,0.5,1521.0,36,27
3,301,96,21,0.97,0.38,5,left,,,,green,left,0.5,1521.5,36,27
3,301,96,22,0.97,0.38,4,forward,,,,green,left,0.5,1522.0,36,27
3,301,96,23,0.97,0.38,3,right,,,,red,right,0.5,1522.5,36,27
3,301,96,24,0.97,0.38,2,forward,,,,green,left,0.5,1523.0,36,27
3,301,96,25,0.97,0.38,1,right,,,,green,left,0.5,1523.5,36,27
3,301,96,26,0.97,0.38,0,right,,,,red,right,0.5,1524.0,36,27
3,301,97,1,0.97,0.38,50,right,,,,green,left,0.5,1524.5,36,27
3,301,97,2,0.97,0.38,49,left,,,,red,right,0.5,1525.0,36,27
3,301,97,3,0.97,0.38,48,forward,,,,red,right,0.5,1525.5,36,27
3,301,97,4,0.97,0.38,47,left,,,left,red,right,0.5,1526.0,36,27
3,301,97,5,0.97,0.38,46,forward,,,,red,right,0.5,1526.5,36,27
3,301,97,6,0.97,0.38,45,left,,,,green,left,0.5,1527.0,36,27
3,301,97,7,0.97,0.38,44,forward,,,,red,right,0.5,1527.5,36,27
3,301,97,8,0.97,0.38,43,left,,,,red,right,0.5,1528.0,36,27
3,301,97,9,0.97,0.38,42,right,,,,green,left,0.5,1528.5,36,27
3,301,97,10,0.97,0.38,41,left,,,,red,right,0.5,1529.0,36,27
3,301,97,11,0.97,0.38,40,forward,,,,green,left,0.5,1529.5,36,27
3,301,97,12,0.97,0.38,39,right,,,left,red,right,10.5,1540.0,37,27
3,301,98,1,0.97,0.38,45,left,,,,green,left,0.5,1540.5,37,27
3,301,98,2,0.97,0.38,44,forward,,,,red,right,0.5,1541.0,37,27
3,301,98,3,0.97,0.38,43,left,,,,red,right,0.5,1541.5,37,27
3,301,98,4,0.97,0.38,42,right,left,,,green,left,0.5,1542.0,37,27
3,301,98,5,0.97,0.38,41,left,,,,red,right,0.5,1542.5,37,27
3,301,98,6,0.97,0.38,40,right,,,,red,right,0.5,1543.0,37,27
3,301,98,7,0.97,0.38,39,right,,,,green,left,0.5,1543.5,37,27
3,301,98,8,0.97,0.38,38,forward,,,,green,left,0.5,1544.0,37,27
3,301,98,9,0.97,0.38,37,right,,,,green,left,0.5,1544.5,37,27
3,301,98,10,0.97,0.38,36,forward,,,,red,right,0.5,1545.0,37,27
3,301,98,11,0.97,0.38,35,left,,,,green,left,0.5,1545.5,37,27
3,301,98,12,0.97,0.38,34,forward,,,,red,right,0.5,1546.0,37,27
3,301,98,13,0.97,0.38,33,left,,,,red,right,0.5,1546.5,37,27
3,301,98,14,0.97,0.38,32,right,,,,red,right,0.5,1547.0,37,27
3,301,98,15,0.97,0.38,31,right,,,,green,left,0.5,1547.5,37,27
3,301,98,16,0.97,0.38,30,forward,,,,green,left,0.5,1548.0,37,27
3,301,98,17,0.97,0.38,29,right,,,,red,right,10.5,1558.5,38,27
3,301,99,1,0.97,0.38,30,forward,,,,green,left,0.5,1559.0,38,27
3,301,99,2,0.97,0.38,29,right,,,,green,left,0.5,1559.5,38,27
3,301,99,3,0.97,0.38,28,right,,,,red,right,0.5,1560.0,38,27
3,301,99,4,0.97,0.38,27,right,,,,green,left,0.5,1560.5,38,27
3,301,99,5,0.97,0.38,26,right,,,,green,left,0.5,1561.0,38,27
3,301,99,6,0.97,0.38,25,left,,,,red,right,0.5,1561.5,38,27
3,301,99,7,0.97,0.38,24,right,,,,green,left,0.5,1562.0,38,27
3,301,99,8,0.97,0.38,23,left,,,,red,right,0.5,1562.5,38,27
3,301,99,9,0.97,0.38,22,forward,,,,green,left,0.5,1563.0,38,27
3,301,99,10,0.97,0.38,21,right,,,forward,green,left,0.5,1563.5,38,27
3,301,99,11,0.97,0.38,20,forward,,,,green,left,0.5,1564.0,38,27
3,301,99,12,0.97,0.38,19,right,right,,,green,left,0.5,1564.5,38,27
3,301,99,13,0.97,0.38,18,forward,,,,green,left,0.5,1565.0,38,27
3,301,99,14,0.97,0.38,17,right,,,,red,right,0.5,1565.5,38,27
3,301,99,15,0.97,0.38,16,left,,,,red,right,0.5,1566.0,38,27
3,301,99,16,0.97,0.38,15,right,,,,green,left,0.5,1566.5,38,27
3,301,99,17,0.97,0.38,14,right,,,,green,left,0.5,1567.0,38,27
3,301,99,18,0.97,0.38,13,left,,,,green,left,0.5,1567.5,38,27
3,301,99,19,0.97,0.38,12,right,,,,green,left,0.5,1568.0,38,27
3,301,99,20,0.97,0.38,11,right,,,,red,right,0.5,1568.5,38,27
3,301,99,21,0.97,0.38,10,right,,,,green,left,0.5,1569.0,38,27
3,301,99,22,0.97,0.38,9,left,,,,red,right,0.5,1569.5,38,27
3,301,99,23,0.97,0.38,8,forward,,,,red,right,0.5,1570.0,38,27
3,301,99,24,0.97,0.38,7,left,,,,green,left,0.5,1570.5,38,27
3,301,99,25,0.97,0.38,6,forward,,,,red,right,0.5,1571.0,38,27
3,301,99,26,0.97,0.38,5,left,,,,green,left,0.5,1571.5,38,27
3,301,99,27,0.97,0.38,4,forward,,,,green,left,0.5,1572.0,38,27
3,301,99,28,0.97,0.38,3,right,,,,red,right,0.5,1572.5,38,27
3,301,99,29,0.97,0.38,2,forward,,,,red,right,0.5,1573.0,38,27
3,301,99,30,0.97,0.38,1,left,,,,green,left,0.5,1573.5,38,27
3,301,99,31,0.97,0.38,0,forward,,,,green,left,0.5,1574.0,38,27
3,301,100,1,0.97,0.38,20,left,,,,red,right,0.5,1574.5,38,27
3,301,100,2,0.97,0.38,19,right,,,,green,left,0.5,1575.0,38,27
3,301,100,3,0.97,0.38,18,left,,,,red,right,0.5,1575.5,38,27
3,301,100,4,0.97,0.38,17,forward,,,,green,left,0.5,1576.0,38,27
3,301,100,5,0.97,0.38,16,right,,,,red,right,0.5,1576.5,38,27
3,301,100,6,0.97,0.38,15,forward,,,,green,left,0.5,1577.0,38,27
3,301,100,7,0.97,0.38,14,right,,,,green,left,0.5,1577.5,38,27
3,301,100,8,0.97,0.38,13,right,,,,red,right,0.5,1578.0,38,27
3,301,100,9,0.97,0.38,12,right,,,,red,right,0.5,1578.5,38,27
3,301,100,10,0.97,0.38,11,forward,,,,green,left,0.5,1579.0,38,27
3,301,100,11,0.97,0.38,10,right,,,left,green,left,0.5,1579.5,38,27
3,301,100,12,0.97,0.38,9,right,,,,red,right,0.5,1580.0,38,27
3,301,100,13,0.97,0.38,8,right,,,,green,left,0.5,1580.5,38,27
3,301,100,14,0.97,0.38,7,forward,,,,green,left,0.5,1581.0,38,27
3,301,100,15,0.97,0.38,6,right,,,,green,left,0.5,1581.5,38,27
3,301,100,16,0.97,0.38,5,forward,,,,green,left,0.5,1582.0,38,27
3,301,100,17,0.97,0.38,4,right,,,,red,right,0.5,1582.5,38,27
3,301,100,18,0.97,0.38,3,forward,,,,green,left,0.5,1583.0,38,27
3,301,100,19,0.97,0.38,2,right,,,,green,left,0.5,1583.5,38,27
3,301,100,20,0.97,0.38,1,right,,,,red,right,0.5,1584.0,38,27
3,301,100,21,0.97,0.38,0,right,,,,red,right,0.5,1584.5,38,27
